Name,Time,Post
Opus Technology Limited updated their cover photo.  , t2S0po F16efnisocmbr1ruued80gguuh2a302r0yt  ,"We bring you HR management software designed by Opus Technology Ltd so that you can digitize your HR planning and process so that it is just the computer doing all the hard work and processes in a blink of an eye and enabling you to keep thousands of records and manage them with great ease. Our intelligent HR system which we like to call “Goldfish” is designed in such a way that it compliments both small to large businesses so if you think we are the perfect fit for you.Vis… See moreopus-bd.comGoldfish - Opus Technology LimitedGOLDFISH-HR & PAYROLLMANAGEMENT SYSTEM Our Company “Opus Technology Limited” provides best HR AND PAYROLL MANAGEMENT SYSTEM “GOLDFISH”. It is an Integrated, Flexible and Affordable Human Resources and Payroll Management System ideal for managing organization’s most valuable assets the “"
Muhammad Enamul Kabir  , 198gt 881D6mfSe1pcm0moensmb80orerh u320e23t0d4  ,"Bipasha Afrin, Director, Opus Technology Limited is a speaker in the event of Work-life: Rise Above During New Normal organized by BWIT (Bangladesh Women in I"
Opus Technology Limited  , 28g t881hOmSctopbonmsge1rl 0gg7o2r0202e0dt0  ,"From 28 - 30 Oct 2020, ITC #SheTrades Commonwealth will be supporting 8 women technopreneurs from Bangladesh, Ghana, and Nigeria to showcase at #JapanITWeek Autumn 2020. #Opus is here.14 14"
Opus Technology Limited  , 290g Fe8tb6rf0umarm3y gSpalot 21uhns3o2re323:420080d0l  ,১৯৫২ এর সকল ভাষা শহীদদের প্রতি রইলো আমাদের গভীর শ্রদ্ধা#InternationalMotherLanguageDaySee translati
Opus Technology Limited  , 25g 0D1ec203eltmb0htSupuoans3fero 5ar3c2020ed  ,
Opus Technology Limited  , 18g 0D1ec203eltmb0htSupuoans3fero 5ar3c2020ed  ,https://www.facebook.com/bwit.bd/videos/446313246372695/0:00 / 1:24:08BWIT - Bangladesh Women in Technology was 
Opus Technology Limited  , 1tgg007 7FS03clt5pe1ou0nbhatsrfuoar5re3cy3d  ,"Our highly skilled dev team makes ""Jason"" #accountingsoftware that will ease your day to day business calculations from daily expenses to monthly balance sheets and yearly accounting reports so that you can have a clear idea on how profitable your business was, all throughout the year.Visit us for more info: www.opus-bd.com/jasonContact us at: info@opus-bd.c"
Opus Technology Limited  , 10g 0N1ov203eltmb0htSupuoans3fero 5ar3c2020ed  ,We have experience in Artificial Intelligence4 4
Opus Technology Limited  , 1mi8tS Og02poc1ncihtsg9m34tu2oobrecdera 2020  ,OPUS TECHNOLOGY LTD is the next frontier of construction management soft
Opus Technology Limited  , 2mi8tS Og02poc1ncihtsg9m34tu2oobrecdera 2020  ,Virtual meeting is going on at Japan IT Week Autumn 20
Opus Technology Limited  , 9mi tSFeg02pob1ncihtsg9m34ru2ouarecdrya 2020  ,#opus_best_software_Bangladesh#BASIS_SOFTEXPO20200:00 / 1:
Opus Technology Limited  , 2mi8tS Og02poc1ncihtsg9m34tu2oobrecdera 2020  ,Day 1 of Japan IT week 20207 7
Opus Technology Limited  , t10Spoi iN8oganvce56mbs16oh3err02 if325h0e20d  ,Business Meeting in Africa 
Opus Technology Limited  , t10Spoi iN8oganvce56mbs16oh3err02 if325h0e20d  ,Business meeting at Africa Tech 20205 5
Opus Technology Limited  , t10Spoi iN8oganvce56mbs16oh3err02 if325h0e20d  ,Business meeting at Africa Tech 20204 4
Opus Technology Limited  , 28t S99p3omOmganccto6ber7s 2360h2201fore06d2  ,"We are participating in Japan IT Week , Autumn 2020. This is our onsite booth19 193 comments"
Opus Technology Limited  , 2t2i OchSpouns6uotg9ob5leri0 12tiur20200e8id  ,Opus Technology Ltd is a leading Software Development and IT consulting service provider globally.3 3
Opus Technology Limited  , 148i Dgetc6uhS6e1pgons0omberr ttiu3224em0209d3  ,"Bipasha Afrin, Director, Opus Technology Limited is a speaker in the event of Work-life: Rise Above During New Normal organized by BWIT (Bangladesh Women in IT)Please join https://streamyard.com/x5r47g"
Opus Technology Limited  , 241i Fgetb6uhS6r1pgons0ouarry ttiu3224em0219d3  ,
Opus Technology Limited  , 1t5 S7ghp1onAmsuhtgusu5toc 20rttiu0102em4d1  ,
Opus Technology Limited  , 10 No7tSv99pone7stg3gl316hmb2er 02o1rmuie0g2d0  ,Business Meeting3 3
Opus Technology Limited  , 36iitt0 Spo2ni1Oc1t3sob16o6ere03iar 20d24cg0  ,Opus online booth in Japan IT Week 2020 Autumn5 5
Opus Technology Limited  , 28 No7tSv99pone7stg3gl316hmb2er 02o1rmuie0g2d0  ,We are looking for an energetic Marketing Executive for a Software Company. If your communication is good with a marketing academic background then this job is right for you.Opus Technology LimitedMarketing Executiv
Opus Technology Limited posted a job.  , 26iitt4 Spo2ni1Oc1t3sob16o6ere03iar 20d24cg0  ,"From 28 - 30 Oct 2020, ITC SheTrades Commonwealth will be supporting 8 women techno entrepreneurs from Bangladesh, Ghana, and Nigeria to showcase at JapanITWeek Autumn 2020. Opus Is one of them!9 9"
Opus Technology Limited  , 31lt 1aSDlpe0405oitnfs1icteomber 2rf4002e70ad  ,
Opus Technology Limited  , 12 lm6iMtSpola4n50yt6ff1 0t9so2r90372110ed7  ,
Opus Technology Limited  , 123lm6i tSpolM4n50at6ffy 0t9so2r90372110ed7  ,
Opus Technology Limited  , 30lt 1aSDlpe0405oitnfs1icteomber 2rf4002e71ad  ,
Opus Technology Limited updated their cover photo.  , 30l1a Octo46tSgpmb6e7r8fon sl2g0ore1dh20400  ,Japan IT Week 2020 Autumn Online Fairhttps://japan-it-autumn.eventxtra.com/main-lobby5 5
Opus Technology Limited  , 30l1a Octo46tSgpmb6e7r8fon sl2g0ore1dh20400  ,"Mr. Md. Rezaul Karim, Project Director, LICTMr. Sami Ahmed, Policy Advisor, LICT Visited Opus online booth at Japan IT Week 2020, Au"
Opus Technology Limited  , tlS030f 6D46pmgeceonmu8bsorelrg m26e5h301211d  ,
