ID_Name,Pro_Posts
mosharrof.rubel,"আমরা লাইফের কোন অংশেই মানি ম্যানেজমেন্ট শিখি না। আমাদের কাছে ভালো মানুষের ইমেজ এভাবেই আনা হয় যে খুব সৎ ব্যাংকে টাকা নেই, ব্যাংক ব্যালন্স নেই, খুব সাধারণ জীবন কাটিয়েছেন। "
mosharrof.rubel,"কোম্পানির নাম: কিউটেক সলিউশন লিমিটেড (সফটওয়্যার ডেভেলপমেন্ট কোম্পানি) নিয়োগ দিচ্ছে!পদ: মোবাইল অ্যাপ (ফ্লাটার) ডেভেলপারচাকুরীর প্রকৃতি: ফুলটাইম (ফিজিক্যাল অফিস নিকুঞ্জা ২, ঢাকা)অফিস লোকেশনঃ নিকুঞ্জা ২, ঢাকাঅভিজ্ঞতা: কমপক্ষে এক বছর… See more"
mosharrof.rubel, এর বিদ্রূপ
mosharrof.rubel,আজকে বাড়ি থেকে ঢাকায় আসলাম। এর মধ্যে আম্মা কল দিয়েছে ৭ বার। কুমিল্লা পর্যন্ত আসতেই ৫ বার। যদিও আমি শত শত বার এই রোডে যাওয়া আসা করেছি সবই চিনি।
mosharrof.rubel,ব্যবসায় ফিরে এসেছি 
mosharrof.rubel,ঢাকায় অফিসে ডেকে Jakirকে লাল চা খাওয়াইসিলাম। এখন নোয়াখালী থেকে ডেকে লক্ষীপুর নিয়ে লাল চা খাইয়ে রিভেঞ্জ নিলো 
mosharrof.rubel,দেশের টুরিস্ট স্পটগুলার মধ্যে এক্সপেরিয়েন্স এর দিকে সবচেয়ে ভয়ানক হলো সিলেটের জায়গাগুলো। 
mosharrof.rubel,আজকের ঘুরাঘুরির স্থান চর আলেকজান্ডার 
mosharrof.rubel,জিলা স্কুলের বন্ধুদের সাথে 
mosharrof.rubel,"আমারা অনেকেই রাত ২/৩টার আগে ঘুমাতে পারিনা। ব্যাড হ্যাবিটতো আছেই, আজকে জেনে অবাক হলাম এটা একটা জেনেটিক সমস্যাও!"
mosharrof.rubel,মামা ভাগ্নে 
mosharrof.rubel,Eid Adda @ Noakhali 
mosharrof.rubel,হাউডি!
mosharrof.rubel,"দূর্নীতিগ্রস্থ দেশগুলোতে আপনার যদি টাকা থাকে তাহলে এর চেয়ে আরামের কিছু নাই। একটু খরচ করলেই রাজার মত থাকা যায়, প্রায় সব কিছু থেকে অন্যদের বঞ্চিত করে সুবিধা নেয়া যায়। "
mosharrof.rubel,Bah!
mosharrof.rubel,Agreement Singed between Qtec Solution Limited & DocTime Limited 
mosharrof.rubel,যদি তুমি কোন কিছুতে পারদর্শী হও.. কখনো বিনামূল্যে করবেন না 
mosharrof.rubel,গতকাল বন্ধু জাকির ১০ টাকা বিকাশ করে সালামি দিলো। আজকে কিউটেক এর সাবেক ডেভ রনি আমাকে এই ছবি ইনবক্স করলো। ছবির মর্ম বুঝে আমি তাকে ১০ টাকা সালামি দিলাম।
mosharrof.rubel,"রাত দুইটার দিকে ট্রেনের টিকেট ছাড়ে সহজের কঠিন প্ল্যাটফর্ম এ। একদল বুদ্ধিমান ছেলেপুলে রাতে লগিন করে সিট সিলেক্ট করে রাখে। সকাল ৮টার দিকে অনলাইন স্টেশন খুলে, তখন Purchase বাটনে ক্লিক দিয়ে কাজ সম্পুর্ন করে সবার আগে! ছোট্ট একটা এক্সেপশনের ফায়দা! JS Rocks! DOM shocks!"
mosharrof.rubel,মোটামুটি ১ সপ্তাহের মধ্যে টুইটারকে অফার- পার্চেজ করে ফেললো ইলন মাস্ক!  
mosharrof.rubel,30-35K BDT বেতন রেঞ্জের মধ্যে একজন Flutter Dev খুঁজছি।
mosharrof.rubel,বছরের সেরা উদ্ভাবন 
mosharrof.rubel,Sad but true বাংলাদেশর বেশিরভাগ বড় কোম্পানির Accounts ডিপার্টমেন্টের KPI হলো Vendor/Service Provider এর বিল আটকে রাখা। 
mosharrof.rubel,20 Years ago in Dhaka: বেপরোয়া গতিতে গাড়ি চালাবেন না!
mosharrof.rubel,I dreamed about founding a company 
mosharrof.rubel,বিদেশি মুভিতে দেখা যায় প্রেমিকা বিদেশ চলে যাচ্ছে এয়ারপোর্টে।  প্রেমিক ফেরাতে খুব হুইফুই ড্রাইভিং করে এয়ারপোর্টে যেয়ে ফেরায় আর ভালোবাসার কথা বলে 
mosharrof.rubel,বিজনেস চালাতে গেলে অনেক কিছু জানতে হয়। আমি রিসেন্টলি ডিজিটাল মার্কেটিং নিয়ে ঘাটাঘাটি করতেসিলাম। এর আগে ১২ বছর কোডিং নিয়ে ঘাটাঘাটি করসি। 
mosharrof.rubel,New  video 
mosharrof.rubel,New datasets are available by Sellers 
mosharrof.rubel,Aha 
mosharrof.rubel,Iftar at Qtec Solution Limited 
mosharrof.rubel,আমেরিকান ডিজিটাল এজেন্সি
mosharrof.rubel,Digital Marketing Agencies list in USA | DataghorSold by: Dataghor 
mosharrof.rubel,
mosharrof.rubel,"একটি স্ব-চালিত গাড়ি সত্যিই ""ধন্যবাদ নয়"" বলে পুলিশের কাছ থেকে দূরে চলে গেছে।"
mosharrof.rubel,Deep thoughts from S. M. Asad Rahman bhai 
mosharrof.rubel,অদম্য প্রকাশ - odommo prokash এর সাইট আসছে শীঘ্রই 
mosharrof.rubel,"What positive energy,  Respect Sir "
mosharrof.rubel,যদি ক্ষমাই করতে না পারি তাহলে কিসের শিক্ষক : হৃদয় কৃষ্ণ মণ্ডল
mosharrof.rubel,"আপনার সন্তানের দিকে খেয়াল রাখুন। কোথায় যাচ্ছে, কি করছে কার সাথে মিশছে, ফুড ভ্লগার হয়ে গেলো নাকি "
mosharrof.rubel,Another Interesting One 
mosharrof.rubel,Download Now: https://cutt.ly/KFnhhF8
mosharrof.rubel,"Cool! ৩১,০০০+ বাংলাদেশী ঔষুধের লিস্ট by Seller "
mosharrof.rubel,Medicine list of Bangladesh | Dataghor 31990 Rows 
