Name,Time,Post
Opus Technology Limited  , 2tS8p 26Occgto5mo30unsbe7ro917 ar2012e0dh2f2  ,Virtual meeting is going on at Japan IT Week Autumn 202038 38LikeCommentShare
Opus Technology Limited  , t11c05 SNhop4voembun2aesor1rcef i0209i27104hd  ,Business meeting at Africa Tech 20202 21 shareLikeCommentShare
Opus Technology Limited  , 1tac28 0Shpo4nOucuu0tat4ob1erfs 12or0207ed4  ,"From 28 - 30 Oct 2020, ITC #SheTrades Commonwealth will be supporting 8 women technopreneurs from Bangladesh, Ghana, and Nigeria to showcase at #JapanITWeek Autumn 2020. #Opus is here.14 141 shareLikeCommentShare"
Opus Technology Limited  , 14t2Sp01 h1tF4ebfuo0natru3s6ofrlie08artyd5  ,১৯৫২ এর সকল ভাষা শহীদদের প্রতি রইলো আমাদের গভীর শ্রদ্ধা#InternationalMotherLanguageDaySee translation15 15LikeCommentShare
Opus Technology Limited  , 14t1Sp01 h1tF4ebfuo0natru3s6ofrlie08artyd5  ,"Our highly skilled dev team makes ""Jason"" #accountingsoftware that will ease your day to day business calculations from daily expenses to monthly balance sheets and yearly accounting reports so that you can have a clear idea on how profitable your business was, all throughout the year.Visit us for more info: www.opus-bd.com/jasonContact us at: info@opus-bd.com14 14LikeCommentShare"
Opus Technology Limited  , 1f4uu8tS8 a06pmNionogv1saeamo7berm1 r202ed02t0  ,3 3LikeCommentShare
Opus Technology Limited updated their cover photo.  , f4u9 t6FeSb60pfiorug05nas1ruoi4ry1ed 202002  ,#opus_best_software_Bangladesh#BASIS_SOFTEXPO20200:00 / 1:5815 15LikeCommentShare
Opus Technology Limited  , f4u28t6 OSc60pfiotog05nbs1euoi4rr1ed 202002  ,Day 1 of Japan IT week 20207 71 shareLikeCommentShare
Opus Technology Limited  , f4u28t6 OSc60pfiotog05nbs1euoi4rr1ed 202002  ,"We are participating in Japan IT Week , Autumn 2020. This is our onsite booth19 193 comments1 shareLikeCommentShare"
Opus Technology Limited  , uft12uS00 8Nofvemp0ob3e1r 4n20hsorec02d026t0f  ,We have experience in Artificial Intelligence4 41 shareLikeCommentShare
Opus Technology Limited  , 1f8t20 OfgcStputonobe3r 2c4s7hor40201e602dt  ,OPUS TECHNOLOGY LTD is the next frontier of construction management software2 2LikeCommentShare
Opus Technology Limited  , 2f2t20 OfgcStputonobe3r 2c4s7hor40201e602dt  ,Opus Technology Ltd is a leading Software Development and IT consulting service provider globally.3 31 shareLikeCommentShare
Opus Technology Limited  , uft12uS08 8Defcemp0ob3e1r 4n20hsorec02d026t0f  ,"Bipasha Afrin, Director, Opus Technology Limited is a speaker in the event of Work-life: Rise Above During New Normal organized by BWIT (Bangladesh Women in IT)Please join https://streamyard.com/x5r47g3xrj5 5LikeCommentShare"
Opus Technology Limited  , 25tctS46iph1 D1ec2one0sm1ub0fer 520torh200eada  ,5 5LikeCommentShare
Opus Technology Limited  , 10tctS46iph1 N1ov2one0sm1ub0fer 520torh200eada  ,Business Meeting3 31 shareLikeCommentShare
Opus Technology Limited  , 10tctS46iph1 N1ov2one0sm1ub0fer 520torh200eada  ,Business Meeting in Africa Tech5 5LikeCommentShare
Opus Technology Limited  , 28tctS46iph1 N1ov2one0sm1ub0fer 520torh200eada  ,We are looking for an energetic Marketing Executive for a Software Company. If your communication is good with a marketing academic background then this job is right for you.Opus Technology LimitedMarketing ExecutiveDhaka 
Opus Technology Limited posted a job.  , 380tS Oc9ponsf6tob4etorgc 1g24t0rl2ue021tgd0  ,"Mr. Md. Rezaul Karim, Project Director, LICTMr. Sami Ahmed, Policy Advisor, LICT Visited Opus online booth at Japan IT Week 2020, Autumn6 6LikeCommentShare"
Opus Technology Limited  , 284tS Oc9ponsf6tob4etorgc 1g24t0rl2ue021tgd0  ,"From 28 - 30 Oct 2020, ITC SheTrades Commonwealth will be supporting 8 women techno entrepreneurs from Bangladesh, Ghana, and Nigeria to showcase at JapanITWeek Autumn 2020. Opus Is one of them!9 91 shareLikeCommentShare"
Opus Technology Limited  , 1142l6t tSpoDe5n0cesmagcb4et4r f20o202rtgedg0  ,4 4LikeCommentShare
Opus Technology Limited  , 3142l1t tSpoDe5n0cesmagcb4et4r f20o202rtgedg0  ,9 9LikeCommentShare
Opus Technology Limited  , m13lt0c SgMay7f6g 20p192oa1nuisf2ofre7d761  ,4 4LikeCommentShare
Opus Technology Limited  , mftS10c Ngo4avf6gph7oe9nsomru0ube2rg 1206e20d  ,Business meeting at Africa Tech 20205 51 shareLikeCommentShare
Opus Technology Limited  , 3m09 14OtSgpcatfoblho1nseuo1ru ur220e374020d  ,Opus online booth in Japan IT Week 2020 Autumn5 51 shareLikeCommentShare
Opus Technology Limited  , 3m09 14OtSgpcatfoblho1nseuo1ru ur220e374020d  ,Japan IT Week 2020 Autumn Online Fairhttps://japan-it-autumn.eventxtra.com/main-lobby5 51 shareLikeCommentShare
Opus Technology Limited  , t11 uSMpoahm2nf01mtsyl o1ar280he0f03t2iid1  ,6 6LikeCommentShare
Opus Technology Limited  , t29lu1Sp1 hmF3eb1romtlgu0019anrsly ot202mre1d  ,4 4LikeCommentShare
Opus Technology Limited  , t15 uSApouhm2nf01gtsulso1art80he 203t0i2d1  ,6 6LikeCommentShare
Opus Technology Limited  , t39lu1Sp0 hmD3ec1eomtlgm0019bneslr ot202mre1d  ,LikeCommentShare
Opus Technology Limited updated their cover photo.  , t2iS306 1Df58pe6fi3cuaoeg0mb2niescor r202fe1d  ,LikeCommentShare
