,Post,neg,neu,pos,compound
10,Virtual meeting is going on at Japan IT Week Autumn 202038 38LikeCommentShare,0.0,1.0,0.0,0.0
11,Business meeting at Africa Tech 20202 21 shareLikeCommentShare,0.0,1.0,0.0,0.0
12,"From 28 - 30 Oct 2020, ITC #SheTrades Commonwealth will be supporting 8 women technopreneurs from Bangladesh, Ghana, and Nigeria to showcase at #JapanITWeek Autumn 2020. #Opus is here.14 141 shareLikeCommentShare",0.0,0.863,0.137,0.4019
13,১৯৫২ এর সকল ভাষা শহীদদের প্রতি রইলো আমাদের গভীর শ্রদ্ধা#InternationalMotherLanguageDaySee translation15 15LikeCommentShare,0.0,1.0,0.0,0.0
14,"Our highly skilled dev team makes ""Jason"" #accountingsoftware that will ease your day to day business calculations from daily expenses to monthly balance sheets and yearly accounting reports so that you can have a clear idea on how profitable your business was, all throughout the year.Visit us for more info: www.opus-bd.com/jasonContact us at: info@opus-bd.com14 14LikeCommentShare",0.0,0.867,0.133,0.6705
15,3 3LikeCommentShare,0.0,1.0,0.0,0.0
16,#opus_best_software_Bangladesh#BASIS_SOFTEXPO20200:00 / 1:5815 15LikeCommentShare,0.0,0.588,0.412,0.6369
17,Day 1 of Japan IT week 20207 71 shareLikeCommentShare,0.0,1.0,0.0,0.0
18,"We are participating in Japan IT Week , Autumn 2020. This is our onsite booth19 193 comments1 shareLikeCommentShare",0.0,1.0,0.0,0.0
19,We have experience in Artificial Intelligence4 41 shareLikeCommentShare,0.0,1.0,0.0,0.0
20,OPUS TECHNOLOGY LTD is the next frontier of construction management software2 2LikeCommentShare,0.0,1.0,0.0,0.0
21,Opus Technology Ltd is a leading Software Development and IT consulting service provider globally.3 31 shareLikeCommentShare,0.0,1.0,0.0,0.0
22,"Bipasha Afrin, Director, Opus Technology Limited is a speaker in the event of Work-life: Rise Above During New Normal organized by BWIT (Bangladesh Women in IT)Please join https://streamyard.com/x5r47g3xrj5 5LikeCommentShare",0.0,0.891,0.109,0.296
23,5 5LikeCommentShare,0.0,1.0,0.0,0.0
24,Business Meeting3 31 shareLikeCommentShare,0.0,1.0,0.0,0.0
25,Business Meeting in Africa Tech5 5LikeCommentShare,0.0,1.0,0.0,0.0
26,We are looking for an energetic Marketing Executive for a Software Company. If your communication is good with a marketing academic background then this job is right for you.Opus Technology LimitedMarketing ExecutiveDhaka ,0.0,0.847,0.153,0.4404
27,"Mr. Md. Rezaul Karim, Project Director, LICTMr. Sami Ahmed, Policy Advisor, LICT Visited Opus online booth at Japan IT Week 2020, Autumn6 6LikeCommentShare",0.0,1.0,0.0,0.0
28,"From 28 - 30 Oct 2020, ITC SheTrades Commonwealth will be supporting 8 women techno entrepreneurs from Bangladesh, Ghana, and Nigeria to showcase at JapanITWeek Autumn 2020. Opus Is one of them!9 91 shareLikeCommentShare",0.0,0.886,0.114,0.4019
29,4 4LikeCommentShare,0.0,1.0,0.0,0.0
30,9 9LikeCommentShare,0.0,1.0,0.0,0.0
31,4 4LikeCommentShare,0.0,1.0,0.0,0.0
32,Business meeting at Africa Tech 20205 51 shareLikeCommentShare,0.0,1.0,0.0,0.0
33,Opus online booth in Japan IT Week 2020 Autumn5 51 shareLikeCommentShare,0.0,1.0,0.0,0.0
34,Japan IT Week 2020 Autumn Online Fairhttps://japan-it-autumn.eventxtra.com/main-lobby5 51 shareLikeCommentShare,0.0,0.685,0.315,0.3182
35,6 6LikeCommentShare,0.0,1.0,0.0,0.0
36,4 4LikeCommentShare,0.0,1.0,0.0,0.0
37,6 6LikeCommentShare,0.0,1.0,0.0,0.0
38,LikeCommentShare,0.0,1.0,0.0,0.0
39,LikeCommentShare,0.0,1.0,0.0,0.0
