title,link,channel,views,time_published,snippet,verified_badge,extensions,file_path
Opus Technology,https://www.youtube.com/watch?v=VOvMLBaMBYY,"{'channel_name': 'Jafar Iqbal', 'channel_link': 'https://www.youtube.com/channel/UCdHRM3fLKvftOurt9lbgxPg'}",69 views,5 years ago,,,,26_05_2022-03_07_37-opus technology-partho.csv
Opus Tech Talk - Episode 1 Looking forward to Microsoft Inspire 2020,https://www.youtube.com/watch?v=IVUiP4g4CnY,"{'channel_name': 'Opus Technology', 'channel_link': 'https://www.youtube.com/c/Opus-telecomsCoUk'}",35 views,1 year ago,"On the eve of the 2020 Microsoft Inspire event, Steve and Ashley from our Technology team recap on the topics being discussed ...",,,26_05_2022-03_07_37-opus technology-partho.csv
Opus Technology Corporate Deck,https://www.youtube.com/watch?v=koCs16IyCJU,"{'channel_name': 'Dark Falcon Productions', 'channel_link': 'https://www.youtube.com/user/darkfalconprod'}",21 views,2 years ago,,,,26_05_2022-03_07_37-opus technology-partho.csv
Introduction to the hearing loop - Opus Technologies (With subtitles),https://www.youtube.com/watch?v=PwQu9TxXevc,"{'channel_name': 'Lucas CASTELNAU', 'channel_link': 'https://www.youtube.com/channel/UCzzdFwPnFrN9RH2ZoXRuh4g'}",863 views,2 years ago,Opus Technologies is a French manufacturer specialized in the accessibility integration in public places. The company developps ...,,,26_05_2022-03_07_37-opus technology-partho.csv
Opus Horizon Administrator Training Guide,https://www.youtube.com/watch?v=_APhFNxoDng,"{'channel_name': 'Opus Technology', 'channel_link': 'https://www.youtube.com/c/Opus-telecomsCoUk'}",63 views,5 years ago,Step-by-step guide on how to use the administrator features on the Opus Horizon Hosted cloud telephony service.,,,26_05_2022-03_07_37-opus technology-partho.csv
Opus Tech Talk Episode 2 - Microsoft Inspire 2020 Event Summary,https://www.youtube.com/watch?v=udSGWwA9e9o,"{'channel_name': 'Opus Technology', 'channel_link': 'https://www.youtube.com/c/Opus-telecomsCoUk'}",27 views,1 year ago,Ashely Wyatt and Stephen Harte from our IT Technology Services team sum up the key topics from the 2020 Microsoft Inspire ...,,,26_05_2022-03_07_37-opus technology-partho.csv
OPUS Technology,https://www.youtube.com/watch?v=u2kU-xcGs-c,"{'channel_name': 'ORConceptsApplied', 'channel_link': 'https://www.youtube.com/user/ORConceptsApplied'}",124 views,12 years ago,,,,26_05_2022-03_07_37-opus technology-partho.csv
Female Tech Entrepreneurs Interview - Akhtar from Opus Technology - 2019 ITU World EQUALS delegation,https://www.youtube.com/watch?v=NeZtA8-eF4I,"{'channel_name': 'EQUALS Global Partnership', 'channel_link': 'https://www.youtube.com/c/EQUALSGlobalPartnership'}",28 views,1 year ago,"Meet female tech entrepreneurs! Interviewee: Akhtar Afrin Bipasha Opus Technology Limited, Bangladesh We are excited to ...",,,26_05_2022-03_07_37-opus technology-partho.csv
Explore Opus Technology,https://www.youtube.com/watch?v=5OFnH27jDmY,"{'channel_name': 'Joanna Claustro DMD', 'channel_link': 'https://www.youtube.com/channel/UC5VL_Vb0PTEFFAXKGx1ZkgQ'}",2 views,3 months ago,"Nerd out on the science behind the incredible results behind Opus Fractional Plasma technology. Smoother, younger skin can ...",,,26_05_2022-03_07_37-opus technology-partho.csv
Eric Prydz - Opus (OUT NOW),https://www.youtube.com/watch?v=iRA82xLsb_w,"{'channel_name': 'Eric Prydz', 'channel_link': 'https://www.youtube.com/channel/UCOjTxt7xBAjh1NraToYYlog'}",36M views,6 years ago,Eric Prydz releases his debut album 'OPUS' on Feb 5th 2016. Pre-order now: EXCLUSIVE VINYL & MERCH ON THE OFFICIAL ...,True,,26_05_2022-03_07_37-opus technology-partho.csv
Opus: Technology in the Classroom,https://www.youtube.com/watch?v=Z3uZWF_sk0A,"{'channel_name': 'Opus ACT', 'channel_link': 'https://www.youtube.com/channel/UCLZijAf-3gIwF8YURkjaAXg'}",10 views,5 years ago,"Opus uses innovative tools, like Google ChromeBooks, to provide students with the resources they need to do their best on the ...",,,26_05_2022-03_07_37-opus technology-partho.csv
ISE 2019: Opus Technologies Intros LD3.0 Class-D Loop Amplifier for Assistive Listening Applications,https://www.youtube.com/watch?v=1BKQPwNaOvw,"{'channel_name': 'rAVe [PUBS]', 'channel_link': 'https://www.youtube.com/c/ravepubs'}",67 views,3 years ago,ISE 2019: Opus Technologies Intros LD3.0 Class-D Loop Amplifier for Assistive Listening Applications.,,,26_05_2022-03_07_37-opus technology-partho.csv
Parvati Accepts Ganesh | Bighnaharta Shree Ganesh - Ep 22 | Full Episode | 24 May 2022,https://www.youtube.com/watch?v=y4bYG3K7fiM,"{'channel_name': 'Sony AATH', 'channel_link': 'https://www.youtube.com/c/sonyaath'}",21K views,1 day ago,"Episode 22: Parvati Accepts Ganesh ------------------ Ganesh's love for her mother, Parvati, melts her heart and she finally accepts ...",True,New,26_05_2022-03_07_37-opus technology-partho.csv
"Building a cleantech company in a capital-constrained world | Etosha Cave, Opus 12 | Energy Seminar",https://www.youtube.com/watch?v=czFWqzc3O2Q,"{'channel_name': 'Stanford ENERGY', 'channel_link': 'https://www.youtube.com/user/PrecourtInstitute'}",1.1K views,1 year ago,Opus 12 is an emerging energy startup created by three Stanford alumni with an unconventional path to raising funds for the ...,,,26_05_2022-03_07_37-opus technology-partho.csv
How to convert WhatsApp audio (.opus) into any format.,https://www.youtube.com/watch?v=9dWngxB27oo,"{'channel_name': 'A-23-SLNRamsrinivas Kakaraparthi', 'channel_link': 'https://www.youtube.com/channel/UCQwTuW0c2hRPR4pfcPHvkgQ'}",35 views,1 year ago,By-Swetha.,,,26_05_2022-03_07_37-opus technology-partho.csv
OPUS Terminal M by CyberLogitec,https://www.youtube.com/watch?v=DyGpv_ZHxPc,"{'channel_name': 'CyberLogitec America, Inc.', 'channel_link': 'https://www.youtube.com/channel/UCQs3YzsO3gHdFxMZ0qIv21w'}",96 views,2 years ago,The latest most advanced terminal operating system by CyberLogitec. OPUS Terminal M is a manages multiple types of cargo for ...,,,26_05_2022-03_07_37-opus technology-partho.csv
Cybook Opus presentation: a new way of reading,https://www.youtube.com/watch?v=T5VuI1ZqeIU,"{'channel_name': 'Bookeen', 'channel_link': 'https://www.youtube.com/user/cybook'}",27K views,12 years ago,"Cybook Opus combines feature rich quality, and the latest ebook reader technology in a compact, stylish and elegant design.",,,26_05_2022-03_07_37-opus technology-partho.csv
#Jivi Opus S3 frp remove #technology #Android_9 #Android_8 frp bypass easy and quick latest #ssm,https://www.youtube.com/watch?v=FlM44KkGtl0,"{'channel_name': 'UFixers Academy', 'channel_link': 'https://www.youtube.com/c/FriendsMobile'}",4.8K views,2 years ago,I JUST SHARE MY PERFECT WORK SHARE PERFECT WORK IF IT HELP YOU PLZ LIKE AND SHARE SUBSCRIBE whatsapp ...,,,26_05_2022-03_07_37-opus technology-partho.csv
ISE 2022: OPUS Technologies Features Its UHF Wireless Assistive Listening Solutions,https://www.youtube.com/watch?v=-4jW8zK3nvo,"{'channel_name': 'rAVe [PUBS]', 'channel_link': 'https://www.youtube.com/c/ravepubs'}",12 views,8 days ago,ISE 2022: OPUS Technologies Features Its UHF Wireless Assistive Listening Solutions.,,,26_05_2022-03_07_37-opus technology-partho.csv
OPUS PLASMA SKIN RESURFACING,https://www.youtube.com/watch?v=tbKsy8t5Xsc,"{'channel_name': 'Dr Nima Plastic Surgery', 'channel_link': 'https://www.youtube.com/c/DrNimaPlasticSurgery'}",2.6K views,9 months ago,"Cosmetic and Reconstructive Plastic Surgeon in Pasadena, California. Dr. Nima's approach to aesthetic and reconstructive ...",,,26_05_2022-03_07_37-opus technology-partho.csv
Opus 6 Series experience.mp4,https://www.youtube.com/watch?v=QHekS2hom5E,"{'channel_name': 'OpusTechnologies1', 'channel_link': 'https://www.youtube.com/user/OpusTechnologies1'}",7.8K views,10 years ago,Opus 6 Series - the complete multi-room entertainment and smart home solution.,,,26_05_2022-03_07_37-opus technology-partho.csv
Opus Visual - Architectural,https://www.youtube.com/watch?v=oizgIEebFrs,"{'channel_name': 'Opus Visual', 'channel_link': 'https://www.youtube.com/c/OpusVisual'}",578 views,2 years ago,Architectural Demo reel by Opus Visual.,,,26_05_2022-03_07_37-opus technology-partho.csv
OPUS-Inkjet Technology,https://www.youtube.com/watch?v=HBw_OZScxiM,"{'channel_name': 'TheOpusgroup', 'channel_link': 'https://www.youtube.com/user/TheOpusgroup'}",286 views,10 years ago,,,,26_05_2022-03_07_37-opus technology-partho.csv
This is Opus Fractional Plasma. A new type of skin resurfacing and tightening technology.,https://www.youtube.com/watch?v=nsn2-Gbc1OM,"{'channel_name': 'Dr. Happe Medical Aesthetics', 'channel_link': 'https://www.youtube.com/channel/UC7XHJVMm6kGSiSAxQFiBYWg'}",16 views,4 weeks ago,A new type of skin resurfacing technology—one that's more advanced than traditional ablative laser skin resurfacing or fractional ...,,,26_05_2022-03_07_37-opus technology-partho.csv
Opus Remote Sensing,https://www.youtube.com/watch?v=2p6WBUaXsi0,"{'channel_name': 'OPUS RSE', 'channel_link': 'https://www.youtube.com/channel/UC0rnZq1du494UQIRie7WbAw'}",137 views,10 months ago,Monitoring and control of real-world traffic emissions. Using remote sensing technology to measure the actual emissions of each ...,,,26_05_2022-03_07_37-opus technology-partho.csv
A New Threat To Ganesh | Bighnaharta Shree Ganesh - Ep 23 | Full Episode | 25 May 2022,https://www.youtube.com/watch?v=JbfLnkLDYFc,"{'channel_name': 'Sony AATH', 'channel_link': 'https://www.youtube.com/c/sonyaath'}",13K views,16 hours ago,Episode 23: A New Threat To Ganesh ------------------ Sindhura hears about the celebrations in Kailash and decides to find out ...,True,New,26_05_2022-03_07_37-opus technology-partho.csv
OPUS Logistics SaaS Solutions - Coordinating Every Aspect of the Freight Forwarding Operations,https://www.youtube.com/watch?v=Ckv9UzSZkT8,"{'channel_name': 'CyberLogitec', 'channel_link': 'https://www.youtube.com/c/CyberLogitec'}",480 views,2 years ago,"Designed to meet the needs of logistics service providers no matter their size, OPUS Logistics solution enables freight forwarders, ...",,,26_05_2022-03_07_37-opus technology-partho.csv
OPUS Owners HUB Ep. 7 - A Full Run-Down Of Our Air Beam Technology,https://www.youtube.com/watch?v=V7ho0Fgia0U,"{'channel_name': 'OPUS Campers Australia', 'channel_link': 'https://www.youtube.com/channel/UChPoYth-MhdHiSEvxhTBnRg'}",1.2K views,1 year ago,The multi award winning Air OPUS Camper Trailer is a fully inflatable off road camper that sets itself up in seconds at the touch of ...,,,26_05_2022-03_07_37-opus technology-partho.csv
OPUS Homes Family Fridays - Know Your OPUS Home,https://www.youtube.com/watch?v=7EYXi-amPbA,"{'channel_name': 'OPUS Homes', 'channel_link': 'https://www.youtube.com/user/OPUSLivingRefined'}",155 views,1 year ago,"We're happy to announce the Know Your Home Program, the first of its kind in the new home-building industry! Learn all about ...",,,26_05_2022-03_07_37-opus technology-partho.csv
OPUS MasterPress EMD - Hot Stamping Machine,https://www.youtube.com/watch?v=P3IuKLwaqok,"{'channel_name': 'AFRA INTERNATIONAL DMCC', 'channel_link': 'https://www.youtube.com/c/AFRAINTERNATIONALDMCC'}",3.2K views,5 years ago,,,,26_05_2022-03_07_37-opus technology-partho.csv
An Introduction to the Photocentric Opus with Joshua Riddick,https://www.youtube.com/watch?v=Qmh0k1vFe2g,"{'channel_name': '3DGBIRE', 'channel_link': 'https://www.youtube.com/c/3DGBIRE'}",162 views,4 months ago,"At TCT3Sixty we caught up with Josh Riddick go give us a breakdown of the latest Photocentric machine, the LC Opus. The Opus ...",,,26_05_2022-03_07_37-opus technology-partho.csv
Volutracer OPUS exhibition at the ISUOG 29th World Congress on Ultrasound in Obstetrics and Gynecolo,https://www.youtube.com/watch?v=_7N-NGsPuxM,"{'channel_name': 'Volutracer OPUS', 'channel_link': 'https://www.youtube.com/channel/UCJGnFnbJQBdCYWfyJPEmFuQ'}",88 views,2 years ago,"Volutracer OPUS has had an outstanding participation, both academically and commercially, during the 2019 ISUOG World ...",,,26_05_2022-03_07_37-opus technology-partho.csv
Easy way to convert OPUS files/voice massages to mp3,https://www.youtube.com/watch?v=BKgnfa-TBhc,"{'channel_name': 'COD mobile', 'channel_link': 'https://www.youtube.com/channel/UCkXKjh2eRcJiUCZQAQCPjHw'}",26 views,2 years ago,Super converter:- ...,,,26_05_2022-03_07_37-opus technology-partho.csv
OPUS II,https://www.youtube.com/watch?v=homQdlh4zQw,"{'channel_name': 'Veolia Water Technologies', 'channel_link': 'https://www.youtube.com/c/VeoliaWaterTechnologies'}",539 views,6 years ago,,,,26_05_2022-03_07_37-opus technology-partho.csv
Autologic Diagnostics Scanner |Opus IVS DrivePro |Drew Tech |AutoEngenuity |Scan tool review 2022,https://www.youtube.com/watch?v=WXljiAPYt5g,"{'channel_name': 'Cody’s Auto Diagnostics & Programming LLC', 'channel_link': 'https://www.youtube.com/c/Cody%E2%80%99sAutoDiagnosticsProgrammingLLC'}",6K views,2 years ago,Autologic Diagnostics Scanner | Opus IVS DrivePro | DrewTech | AutoEngenuity | Scan tool review 2022 My initial thoughts.,,,26_05_2022-03_07_37-opus technology-partho.csv
ISE 2017: Opus Technologies Promotes Amplifier Loop System,https://www.youtube.com/watch?v=6sIHtt-BPf4,"{'channel_name': 'rAVe [PUBS]', 'channel_link': 'https://www.youtube.com/c/ravepubs'}",93 views,5 years ago,ISE 2017: Opus Technologies Promotes Amplifier Loop System.,,,26_05_2022-03_07_37-opus technology-partho.csv
Razer Opus | Forget the Noise,https://www.youtube.com/watch?v=HQ4WVjBOlUw,"{'channel_name': 'R Λ Z Ξ R', 'channel_link': 'https://www.youtube.com/c/razer'}",121K views,1 year ago,"--- SUBSCRIBE and get hooked up with exclusive content, codes. and giveaways.",True,,26_05_2022-03_07_37-opus technology-partho.csv
OPUS 2Go,https://www.youtube.com/watch?v=DzG_YQjpxU8,"{'channel_name': 'Nion Beauty', 'channel_link': 'https://www.youtube.com/channel/UCDPeKlLCg1dNvYs7Ee8lN9g'}",3K views,5 years ago,"In this how-to video, learn how to use the Opus 2Go! Perfect for jet-setters, this disposable silicone facial brush is packed full of ...",,,26_05_2022-03_07_37-opus technology-partho.csv
"🔥 Fireside Chat: The Frontline Tech Stack (With Opus, Onaroll, and Blanket)",https://www.youtube.com/watch?v=tvL86hMwfB0,"{'channel_name': 'Opus Training', 'channel_link': 'https://www.youtube.com/channel/UCCfWTMdmxT3LD2gqGshZhAQ'}",39 views,Streamed 1 year ago,Catch this exclusive Fireside Chat to hear from founders of the top companies building solutions for frontline workers on why ...,,,26_05_2022-03_07_37-opus technology-partho.csv
Opus AI - Diversity and Inclusion Panel,https://www.youtube.com/watch?v=DzNwkPDzJm8,"{'channel_name': 'Lawrence Edmondson', 'channel_link': 'https://www.youtube.com/channel/UCN4MzVHuKsrAIXl3LQD-q_Q'}",58 views,3 years ago,"At Opus AI, we wanted to spark a conversation relating to technology and what role it can play in creating a more diverse and ...",,,26_05_2022-03_07_37-opus technology-partho.csv
Opus - Production Scheduling,https://www.youtube.com/watch?v=-XwEh1t8jPc,"{'channel_name': 'OPUS Global Data Solutions', 'channel_link': 'https://www.youtube.com/channel/UCL7aJExjug7e1Ynq6RENBkg'}",15 views,9 days ago,Optimizing production schedules and processes flows is vital to achieving maximum efficiency. In this video we will highlight ...,,,26_05_2022-03_07_37-opus technology-partho.csv
Opus Gold Financial Consultants AutoEnrolment Solutions,https://www.youtube.com/watch?v=GD3OpaKoYSU,"{'channel_name': 'OpusGoldFinance', 'channel_link': 'https://www.youtube.com/user/OpusGoldFinance'}",307 views,8 years ago,On-line solution to any corporation or company to effectively manage their Auto-Enrolment/Work Place Pension requirements.,,,26_05_2022-03_07_37-opus technology-partho.csv
The Razer Opus is GOOD! - Review,https://www.youtube.com/watch?v=7X32VsQriQY,"{'channel_name': 'Tech Space', 'channel_link': 'https://www.youtube.com/c/TechSpaceYT'}",1.8K views,1 year ago,"This time Razer made a really nice headset for everyday use - mobile calls, music, movies #Razer #Opus ...",,4K,26_05_2022-03_07_37-opus technology-partho.csv
2022 Opus OP4 Air pop-up off road camper trailer. RV dealer in GRAND RAPIDS MI | VEURINK’S RV CENTER,https://www.youtube.com/watch?v=H6rt3aAp_ds,"{'channel_name': 'Joel Tucker', 'channel_link': 'https://www.youtube.com/channel/UCwLzmZipNV7LHmoXSGanONA'}",160 views,3 weeks ago,Call or text Joel to get yours today… 616-965-9623 Available Opus OP4 off road camper trailer. Air pop-up at VEURINK'S RV ...,,,26_05_2022-03_07_37-opus technology-partho.csv
How ScienceLogic Helps Opus Modernize and Uplevel its Operational Maturity with Automation,https://www.youtube.com/watch?v=kSuOKSg-npY,"{'channel_name': 'ScienceLogic', 'channel_link': 'https://www.youtube.com/c/Sciencelogic'}",63 views,11 months ago,"Opus Interactive, a next generation cloud service provider, is focused on the future of technologies that allow its hybrid and ...",,,26_05_2022-03_07_37-opus technology-partho.csv
Opus Technologies Promo,https://www.youtube.com/watch?v=t9xRZeEdZl0,"{'channel_name': 'Katrina Aponte', 'channel_link': 'https://www.youtube.com/channel/UCKEaWsg7lesddFJSK9iV_gA'}",60 views,3 years ago,Here is the result of my second audio/video editing project in the BCIT New Media 2018 course. My partner and I were asked to ...,,,26_05_2022-03_07_37-opus technology-partho.csv
Opus Consulting Solutions - Our Corporate Video,https://www.youtube.com/watch?v=VS_mkon0g94,"{'channel_name': 'Opus Consulting Solutions', 'channel_link': 'https://www.youtube.com/channel/UC4PlgBoht0r5GiMM78VD40A'}",1.9K views,6 years ago,Learn more about our history and our culture of innovation in the Payments domain. We are Opus Consulting Solutions!,,,26_05_2022-03_07_37-opus technology-partho.csv
Opus Faveo Webinar - From the Horse’s Mouth… Real Life Tales of a University Tech Spin-out,https://www.youtube.com/watch?v=YGwKdA_7_D8,"{'channel_name': 'Opus Faveo', 'channel_link': 'https://www.youtube.com/channel/UC6JKlhvTAx7xSGbaY6WKWvg'}",24 views,6 years ago,What is it that really drives university researchers to want to start a tech based company? What challenges do they face and how ...,,,26_05_2022-03_07_37-opus technology-partho.csv
Opus Body,https://www.youtube.com/watch?v=Skk0y-Jhj6I,"{'channel_name': 'Nion Beauty', 'channel_link': 'https://www.youtube.com/channel/UCDPeKlLCg1dNvYs7Ee8lN9g'}",3.8K views,5 years ago,"In this how-to video, learn how to use the Opus Body brush! Get gorgeous, glowing skin from head to toe with the Opus Body, ...",,,26_05_2022-03_07_37-opus technology-partho.csv
OPUS,https://www.youtube.com/watch?v=M-8I3e-DXaM,"{'channel_name': 'opuszoo', 'channel_link': 'https://www.youtube.com/user/opuszoo'}",17K views,13 years ago,Jak przygotować fotoksiążkę wire - film instruktażowy.,,,26_05_2022-03_07_37-opus technology-partho.csv
OPUS Terminal M - An Advanced TOS for Multi-Purpose Terminals.,https://www.youtube.com/watch?v=grt5nxZ8pyA,"{'channel_name': 'CyberLogitec', 'channel_link': 'https://www.youtube.com/c/CyberLogitec'}",2.2K views,2 years ago,"Designed to meet the growing needs of terminals, OPUS Terminal M has the capability to handle all types of cargo vessels, ...",,,26_05_2022-03_07_37-opus technology-partho.csv
testo 550s Highlights | Opus T,https://www.youtube.com/watch?v=EsQLFcWJGfk,"{'channel_name': 'OPUS T SDN BHD', 'channel_link': 'https://www.youtube.com/channel/UCTEbL_gHtT1TGj9pkH5Tkzw'}",15 views,1 year ago,Everything at a glance. In your hand. New refrigeration technology from Testo. Contact us for more info : www.opustmy.com ...,,,26_05_2022-03_07_37-opus technology-partho.csv
magnum opus of sreepathy institute of management and technology,https://www.youtube.com/watch?v=xb8vCxQN9-U,"{'channel_name': 'Jithin s babu', 'channel_link': 'https://www.youtube.com/user/JITHIN958'}",3.7K views,10 years ago,a visual treat done by civil batch of sreepathy institute of management and technology (simat),,,26_05_2022-03_07_37-opus technology-partho.csv
Opus Visual Showreel 2019,https://www.youtube.com/watch?v=quJ0tX5P2YY,"{'channel_name': 'Opus Visual', 'channel_link': 'https://www.youtube.com/c/OpusVisual'}",389 views,3 years ago,,,,26_05_2022-03_07_37-opus technology-partho.csv
Ruby Red XCM RGH 3 OPUS,https://www.youtube.com/watch?v=vciVkS-neiM,"{'channel_name': 'OPUS', 'channel_link': 'https://www.youtube.com/c/OPUS1'}",167 views,1 month ago,It's finally done. I was able to find a clear fan duct to go in this console to make it look that bit better What do you think?,,,26_05_2022-03_07_37-opus technology-partho.csv
Ep 35 OPUS,https://www.youtube.com/watch?v=Itwlr2Db3lE,"{'channel_name': 'The Illumination Station', 'channel_link': 'https://www.youtube.com/c/TheIlluminationStation'}",174 views,1 year ago,Product: Opus Cello and Cadence Hosts: Brad May & Matt Tucker.,,,26_05_2022-03_07_37-opus technology-partho.csv
ISE 2022: OPUS Technologies Showcases Line of Class D Loop Amplifiers for Assistive Listening,https://www.youtube.com/watch?v=BSLARn_w_aU,"{'channel_name': 'rAVe [PUBS]', 'channel_link': 'https://www.youtube.com/c/ravepubs'}",18 views,8 days ago,ISE 2022: OPUS Technologies Showcases Line of Class D Loop Amplifiers for Assistive Listening.,,,26_05_2022-03_07_37-opus technology-partho.csv
testo SmartApp Refrigeration Testo 55x | Opus T,https://www.youtube.com/watch?v=SB5zqqVy5YY,"{'channel_name': 'OPUS T SDN BHD', 'channel_link': 'https://www.youtube.com/channel/UCTEbL_gHtT1TGj9pkH5Tkzw'}",7 views,1 year ago,Everything at a glance. In your hand. New refrigeration technology from Testo. Contact us for more info : www.opustmy.com ...,,,26_05_2022-03_07_37-opus technology-partho.csv
"Opus Team Advert, Opus Telecom, IT & Mobile, Hampshire",https://www.youtube.com/watch?v=4nR6Y_FwYWI,"{'channel_name': 'Paula Langley', 'channel_link': 'https://www.youtube.com/user/AbbeyfieldFilms'}",122 views,9 years ago,Put your trust in one of the UK's leading communications providers. With Opus Team you are in safe hands. We have been ...,,,26_05_2022-03_07_37-opus technology-partho.csv
Volutracer OPUS exhibition at the ISUOG 29th World Congress on Ultrasound in Obstetrics and Gynecolo,https://www.youtube.com/watch?v=PTuLghYIuMY,"{'channel_name': 'OPUS Not Official', 'channel_link': 'https://www.youtube.com/channel/UChX6bKKdNiPd1bUAOfVqAlg'}",183 views,2 years ago,"Volutracer OPUS has had an outstanding participation, both academically and commercially, during the 2019 ISUOG World ...",,,26_05_2022-03_07_37-opus technology-partho.csv
Applying an OPUS Solution in TBC,https://www.youtube.com/watch?v=QWufdqr3DDU,"{'channel_name': 'Jay Haskamp', 'channel_link': 'https://www.youtube.com/channel/UC6Xk8YA0iGJdNBOJrc6RIJw'}",6.1K views,7 years ago,In this Tech Talk we show you one of the procedures for applying an OPUS solution to your project in TBC. This is not the only ...,,,26_05_2022-03_07_37-opus technology-partho.csv
Women in Technology Recruitment | Opus Talent Solutions,https://www.youtube.com/watch?v=NE_26lhg9js,"{'channel_name': 'Opus Talent Solutions', 'channel_link': 'https://www.youtube.com/channel/UCbLVM22o1mdiBP5bPVom2sw'}",566 views,4 years ago,Two female consultants from Opus Talent Solutions discuss their experiences in technology recruitment.,,,26_05_2022-03_07_37-opus technology-partho.csv
Razer Opus X Mercury Edition Wireless Headset - Unboxing & First Impressions!,https://www.youtube.com/watch?v=kUDid26J01U,"{'channel_name': 'CazuaLLUK', 'channel_link': 'https://www.youtube.com/c/CazuaLLUK'}",605 views,3 months ago,Razer Opus X Mercury Edition Wireless Headset Unboxing First Impressions Review Low Latency ANC Headphones Buy on ...,True,,26_05_2022-03_07_37-opus technology-partho.csv
