,Post,neg,neu,pos,compound
33,COVID-19 UPDATE: 4th Kane Death in 3 Days; 6406 Illinois Cases Wednesday; 'Hidden' Wave of COVID,0.231,0.769,0.0,-0.5994
34,COVID-19 could cause croup in infants,0.0,1.0,0.0,0.0
35,"COVID-19: State update - 1,254,640 coronavirus cases, 17,319 deaths",0.281,0.719,0.0,-0.5994
36,"Resistance to COVID-19 vaccines meant 9,000 Arizonans died preventable deaths, report finds",0.436,0.503,0.061,-0.8271
37,Schools Are Reinstating Mask Mandates as COVID-19 Cases Rise,0.0,1.0,0.0,0.0
38,"Roanoke Valley hits grim COVID-19 milestone with 1,000 deaths",0.521,0.479,0.0,-0.8225
39,"Coronavirus daily news updates, May 25: What to know today about COVID-19 in the Seattle area, Washington state and the world",0.0,1.0,0.0,0.0
40,"Over 4700 NYC children lost parent to COVID-19, report finds",0.223,0.777,0.0,-0.3182
41,"Hawaiʻi's COVID-19 models, responses, lessons learned | University of Hawaiʻi System News",0.0,1.0,0.0,0.0
42,"COVID-19 ‘rebounding’ in Clark County, report says",0.0,1.0,0.0,0.0
43,"Amarillo VA following 3 COVID-19 safety protocol levels for visitors, patients",0.0,1.0,0.0,0.0
44,VIDEO: Immunomodulatory adjustments do not impact COVID-19 vaccine immunogenicity,0.0,1.0,0.0,0.0
45,Notre Dame's Gruesen uses COVID-19 pandemic as motivation to complete marathon,0.0,1.0,0.0,0.0
46,COVID-19 in South Dakota: 9 deaths reported; hospitalizations down,0.394,0.606,0.0,-0.5994
47,Hospitals are exploring a way to pay for uninsured Covid-19 care - STAT,0.121,0.603,0.276,0.4215
48,Washington 'not returning to broad mask requirements' amid uptick in COVID-19 cases,0.0,1.0,0.0,0.0
49,A preventative COVID-19 drug has opened up life for some immunocompromised Texans. But it remains unknown to many others,0.0,0.909,0.091,0.0258
50,Arizonans with COVID-19 symptoms may actually have the flu,0.302,0.698,0.0,-0.3818
51,"Wisconsin adds over 1,750 new cases of COVID-19, totaling up to over 1.46M",0.0,1.0,0.0,0.0
52,Learn about the newest COVID-19 treatments and drugs,0.0,1.0,0.0,0.0
53,Henderson County reported 39 additional COVID-19 cases this week,0.0,1.0,0.0,0.0
54,How one CFO used ERP to tackle COVID-19 testing,0.0,1.0,0.0,0.0
55,Family Care Specialists in Colorado banned from COVID-19 vaccine program for mishandling and storage issues,0.214,0.595,0.19,-0.1027
56,Covid News: F.D.A. Sets Date for Panel Debate on Pfizer and Moderna Vaccines for Youngest Children,0.0,1.0,0.0,0.0
57,This Kansas county just hit ‘Substantial’ COVID-19 spread,0.0,1.0,0.0,0.0
58,How femtech startup Inne rebooted its hardware launch after COVID-19 chaos,0.0,1.0,0.0,0.0
59,"Cancer, Alzheimer’s patients have much higher COVID-19 breakthrough rate, study shows",0.306,0.694,0.0,-0.6597
60,Parkinson's Mice Study Finds Nerve Cells Vulnerable After COVID-19,0.0,1.0,0.0,0.0
61,Leukemia After COVID-19: Is There a Connection?,0.0,1.0,0.0,0.0
62,New partnership links positive COVID-19 cases to antivirals — for a price,0.0,1.0,0.0,0.0
63,"Pfizer CEO predicts 'constant waves' of COVID-19, blames complacency",0.231,0.769,0.0,-0.34
64,Expert explains most effective COVID-19 policies,0.0,1.0,0.0,0.0
65,"Larimer County COVID-19 data on May 25, 2022",0.0,1.0,0.0,0.0
66,"'COVID-19 is not over', Tedros warns World Health Assembly",0.0,0.844,0.156,0.0762
67,Tales of Covid-19 reinfection,0.0,1.0,0.0,0.0
68,Germany to loosen COVID-19 entry rules over the summer,0.0,1.0,0.0,0.0
69,North Korean COVID-19/Fever Data Tracker,0.0,1.0,0.0,0.0
70,More than 1 million COVID-19 deaths should serve as warning to U.S.,0.57,0.43,0.0,-0.6486
71,The quest for longer-lasting Covid-19 vaccines,0.0,1.0,0.0,0.0
72,A new billionaire has been minted nearly every day during the pandemic,0.0,1.0,0.0,0.0
73,Why are COVID-19 cases rising and will an omicron infection protect me?,0.0,0.698,0.302,0.3818
74,Marion County reports 606 additional COVID-19 cases,0.0,1.0,0.0,0.0
75,"Covid-19 wastewater surveillance is promising tool, but critical challenges remain",0.208,0.792,0.0,-0.2732
76,"Hard hit by COVID-19, Black Americans are recovering slowly",0.167,0.833,0.0,-0.1027
77,"A third of people in US should consider masking based on their Covid-19 risk, CDC director says",0.16,0.84,0.0,-0.2732
78,Steve Stricker withdraws from Senior PGA Championship due to COVID-19,0.0,0.734,0.266,0.4404
79,"Why the Gym is Risky for COVID-19, and Tips for Keeping Safe",0.0,0.674,0.326,0.4404
80,"Alabama COVID-19 case numbers, positivity rate highest it's been since February",0.0,0.874,0.126,0.0772
81,A comprehensive evaluation of COVID-19 policies and outcomes in 50 countries and territories | Scientific Reports,0.0,1.0,0.0,0.0
82,Beijing extends work-from-home order as COVID-19 cases rise,0.0,0.825,0.175,0.1779
83,Post-COVID-19 rise in eating disorders tackled with new guidelines,0.0,1.0,0.0,0.0
84,Long Covid-19: 'I'm physically and mentally not able to do anything',0.0,1.0,0.0,0.0
85,Vermont retires daily COVID-19 data dashboard. How to find risk info.,0.189,0.811,0.0,-0.2732
86,Moderna again points at U.S. gov't in COVID-19 vaccine patent lawsuit,0.213,0.787,0.0,-0.2263
87,"New Mexico COVID-19 update: 32 deaths, 116 hospitalizations, 935 cases",0.281,0.719,0.0,-0.5994
88,The incidence of post-COVID conditions among patients who had received a previous COVID-19 diagnosis,0.0,1.0,0.0,0.0
89,Shanghai heading out of lockdown but China still lost in economic gloom,0.496,0.504,0.0,-0.7096
90,"From COVID-19 test for infants, to breastfeeding babies if positive; all you need to know if your child gets infected",0.0,1.0,0.0,0.0
91,UAE’s handling of the COVID-19 pandemic praised during Davos,0.0,1.0,0.0,0.0
92,IndiGo’s losses widen on higher fuel costs and rising COVID-19 cases in last quarter of FY22,0.161,0.839,0.0,-0.3182
93,"Even vaccinated people can develop Long COVID-19, finds study",0.0,1.0,0.0,0.0
94,N. Korea's COVID-19 outbreak is presenting challenges for agricultural mobilizations - Daily NK,0.0,1.0,0.0,0.0
95,"After 6 Students Test Covid-19 Positive at Anna University, High Alert on Campus",0.0,0.804,0.196,0.296
96,Situation Update #109 - Coronavirus Disease 2019 (COVID-19) WHO Country Office for Nepal Reporting Date: 09 May ...,0.0,1.0,0.0,0.0
