Name,Time,Post
UNICEF South Asia   , 2c9t 2M069aSrp1chm oatnfts7 68a1o9r1mmhth:194ed8  ,Comforting news on face masks #COVID190:05 / 5:025.4K 5.4K54 comments512
India Today posted a video to the playlist NewsMo 2.0.  , China state-controlled media  ,"This is Dr. Lorna Breen. She was the Emergency Room Director at New York-Presbyterian Hospital. When the COVID-19 pandemic hit in 2020, Dr. Breen was on the frontlines treating COVID patients. She came down with the virus herself – and after taking minimal time to recover, she returned to work. She appeared withdrawn and her family encouraged her to come home, take a break, and seek mental health treatment. Tragically, she later died by suicide. Dr. Breen’s story is just o… See moreVisit the COVID-19 Information Centre for vaccine resources.Get Vaccine Info44K 44K3.1K comments2.5K"
CGTN   , 301t M7ta1r4Scth acfpgatg ofn238sc20:o7re2m138d3  ,Cleared and on his way! Takaaki Nakagami is IN for the #ArgentinaGP  #MotoGPmotogp.comNakagami fit for Argentina after negative Covid-19 testThe Japanese rider is expected to arrive in Termas de Rio Hondo in time to participate in the Argentina Grand Prix730 73012 comments3
President Joe Biden was live.  , China state-controlled media  ,"Takaaki Nakagami has tested positive for Covid-19 The LCR Honda Team rider will miss this weekend's #ArgentinaGP. Get well soon, Taka! #MotoGPmotogp.comNakagami to miss Grand Prix of Argentina with Covid-19The Japanese rider tested positive for the virus on Monday before travelling to Termas de Rio Hondo1.7K 1.7K107 comments37"
CGTN   , 1 1AtS7pr6iphotlni fsaotg0ara6 10122:e7102d081  ,"India has one of the ""lowest"" 374 #COVID19 deaths per million population, according to the World Health Organisation, compared to similarly affected countries like the USA, Brazil, Russia and Mexico, the government said on Tuesday.ndtv.com""India Has One Of The Lowest Covid Deaths (374) Per Million"": CentreIndia has one of the ""lowest"" 374 COVID-19 deaths per million population, according to the World Health Organisation, compared to similarly affected countries like the USA, Brazil, Russia and Mexico, the government said on Tuesday.734 734156 comments19"
DNA India   , China state-controlled media  ,"The Enforcement Directorate is investigating the alleged violation of foreign funding rules by journalist #RanaAyyub while collecting donations for #COVID19 reliefndtv.comJournalist Rana Ayyub Stopped From Leaving India At Mumbai AirportJournalist Rana Ayyub was stopped from flying to London today as she is an accused in an alleged money laundering case, which is being investigated by the Enforcement Directorate.1.3K 1.3K243 comments40"
CGTN   , tumSp19 2Mo3arccuh 7t7nas3t6h6t 900o13l:r23ea4d  ,#衛福編編報報 發文時間：2022.3.29新增96例COVID-19確定病例，分別為33例本土及63例境外移入記者會影片：https://youtu.be/kpSMWF6xa-M記者會影片-即時字幕：https://youtu.be/hVuwGNxsdm8《客家電視台》客語口譯直播：https://youtu.be/5bmz2rQIfQA… See moreSee translation+114.7K 4.7K360 comments258
President Joe Biden   , tSmYcl8es1tpaiecr3oda7y00 tnso4gat i15r0l0:403ged  ,How to protect yourself against #COVID19  #DoItAll29K 29K583 comments287
MotoGP   , China state-controlled media  ,He’s back Takaaki Nakagami WILL race this weekend at the #ArgentinaGP #MotoGP2.5K 2.5K35 comments33
"People's Daily, China   ", 3116 3Mfaat5Srcphg oa5t 0n18lsg:4oirthl0teu6d38l  ,"Equal pay is a matter of justice, fairness, and dignity — it is about living up to our values and who we are as a Nation.  For over 25 years, Equal Pay Day has helped draw attention to gender-based pay disparities by highlighting how far into a new year a woman must work, on average, to earn what a man did in the previous year.This year, Equal Pay Day falls on March 15, the earliest we have ever marked the occasion.  The earlier that Equal Pay Day arrives, the closer our Na… See more9.7K 9.7K2.9K comments365"
MotoGP   , 2196 3Mfaat5Srcphg oa5t 0n18lsg:4oirthl5teu6d38l  ,"One year ago today, eight people, six of them women of Asian descent, were tragically killed by a gunman who attacked three Asian-run businesses. These horrific murders shook communities across America and underscored how far we have to go in this country to fight racism, misogyny, and all forms of hate—and the epidemic of gun violence that enables these extremists.In the aftermath of these senseless deaths, the Vice President and I traveled to Atlanta to meet with leaders … See more8.5K 8.5K1.4K comments279"
NDTV   , China state-controlled media  ,"This afternoon, I’m hosting Colombian President Iván Duque Márquez at the White House for a bilateral meeting. I look forward to celebrating 200 years of positive diplomatic relations between our two nations and discussing a range of issues from COVID-19 to migration.9K 9K2.6K comments222"
CGTN   , 3106 3Mfaat5Srcphg oa5t 0n00lsg:2oirthl2teu6d38l  ,"A group of truckers protesting Covid-19 mandates started to encircle Washington, D.C., on Sunday, but the convoy stayed in Maryland after organizers said they did not intend to drive into the nation’s capital. https://nyti.ms/35TbaT00:05 / 0:442.9K 2.9K1.9K comments319"
NDTV   , 2t59tS M9aarpcho 1nu9ag0mt0msor 3102uale:0319dt7  ,"On International Women’s Day, we recognize the achievements of women and girls in the United States and across the globe, celebrate the progress we’ve made, and recommit ourselves to the work that remains to deliver the full measure of equity, dignity, and opportunity due to all women and girls.Every person deserves the chance to live up to their full God-given potential, without regard for gender or other factors.  Ensuring that every woman and girl has that chance isn’t j… See more14K 14K2.5K comments691"
衛生福利部   , 2t53tS M9aarpcho 1nu9ag0mt0msor 3108uale:1313dt7  ,"It’s simple: Eight months after your second shot, get your booster shot.0:00 / 0:20Visit the COVID-19 Information Centre for vaccine resources.Get Vaccine Info41K 41K9.2K comments2.1K"
World Health Organization African Region   , Yes2t1chtte58ardhaau9y amStm80 pou0n00sm:211ore93d  ,China is facing a flare of #COVID19 cases and especially in its economic capital.Eastern Shanghai has been locked down since Monday for four days. Starting Friday it will be west turn to be
MotoGP   , 1t55tS M9aarpcho 1nu9ag0mt0msor 3109uale:4317dt7  ,The White H
President Joe Biden   , 1a6 tu2MatgrSpoc558ah0 aa8nat1s t2oc8ag0r0:e3ad8  ,"March 30, 2022 Development of COVID-19 in IndonesiaThe number of recovered 5,742,931 confirmed positive #COVID19 in Indonesia to 6.009,486 and 155,000 deadRemain obedient to 3M by #WearingMask #WearingWithSoap #MakingDistance to break the chain of COVID-19 infection. Together we can #fightco"
President Joe Biden   , 1a1 tu2MatgrSpoc558ah0 aa8nat1s t0oc8ag0r0:e2ad4  ,"We have administered over one million COVID-19 vaccine doses in the past 24 hours — that’s the highest number in seven weeks.If you haven’t yet, please get vaccinated. Let’s keep this momentum going and defeat COVID-19.Visit the COVID-19 Information Centre for vaccine resources.Get Vaccine Info63K 63K7.7K comments2.1K"
President Joe Biden   , 7 3M1talSprcoc755ha 00nasat hu9t0uco0r1:e315d  ,29 March 2022 COVID-19 development in IndonesiaThe number of recovered 5.735.055 confirmed positive #COVID19 in Indonesia to 6.005.646 and 154.882 diedRemain obedient to 3M by #WearingMask #WearingWithSoap #MakingDistance to break the chain of COVID-19 infection. Together we can #fightco
The New York Times   , 8 3M1talSprcoc755ha 00nasat hu9t0uco2r0:e310d  ,"We reiterate our purpose to present an initiative to reform the Constitution on electoral matters. We want to guarantee democracy in Mexico; that the people be the one who chooses the INE councilor president and the electoral magistrate.Cases, hospitalizations and deaths from #COVID19 remain low; already adding nine consecutive weeks. We invite you to complete the vaccination scheme or come in for the booster to those who still don't have it. Vaccination is the best way to … See"
President Joe Biden   , 1449 3A1ut2guhiiSh35ponsso9tg0 5lrm520821ed  ,"วันนี้ (2 เม.ย. 65) ศูนย์ข้อมูล #COVID19 รายงานจำนวนผู้ติดเชื้อโควิด-19 รายใหม่เพิ่ม 28,029 คน หายป่วยกลับบ้านเพิ่ม 23,352 คน.• รวมผู้ป่วยสะสมระลอกใหม่ 1,461,320 คน (ตั้งแต่ 1 ม.ค. 65)• ยอดหายป่วยสะสม 1,235,148 คน (ตั้งแต่ 1 ม.ค. 65)• เสียชีวิตเพิ่มอีก 96 คน… See moreSee translation1.1K 1.1K27 comments64"
President Joe Biden   , 294cctSpon29 hMiahr5st06ich ggatoa 5g012ri:h30ed  ,"March 27, 2022 COVID-19 development in IndonesiaThe number of recovered 5.714.662 confirmed positive #COVID19 in Indonesia became 5,998.953 and 154.670 deadRemain obedient to 3M by #WearingMask #WearingWithSoap #MakingDistance to break the chain of COVID-19 infection. Together we can #fightco"
FRANCE 24   , 1448 3A1ut2guhiiSh35ponsso9tg0 5lrm520821ed  ,"Nurjawani, remaja putri di Lombok Barat, berkeliling dan membagikan Tablet Tambah Darah (TTD) ke remaja putri yang tinggal di lingkungan sekitar rumahnya.Sebelum pandemi, TTD dibagikan melalui sekolah, tetapi sejak pandemi #COVID19, distribusi menjadi terhambat akibat sekolah ditutup. Survei daring oleh UNICEF menemukan bahwa hampir 90 persen remaja di putri di Indonesia berhenti mengonsumsi TTD, membuat mereka semakin rentan terkena anemia yang dapat menurunkan prestasi me… See more2.2K 2.2K19 comments73"
President Joe Biden   , 304cctSpon29 hMiahr5st06ich ggatoa 5g118ri:h58ed  ,"วันนี้ (31 มี.ค. 65) ศูนย์ข้อมูล COVID-19 รายงานจำนวนผู้ติดเชื้อโควิด-19 รายใหม่เพิ่ม 27,560 คน• ผู้ป่วยสะสมระลอกใหม่ 1,404,912 คน (ตั้งแต่ 1 ม.ค. 65)• เสียชีวิตเพิ่ม 85 คน• หายป่วยเพิ่ม 25,077 คน… See moreSee translation1.2K 1.2K17 comments59"
