Name,Time,Post
World Health Organization African Region   , t1Sp13o9h Manta3rac7sh07f ta4t 03o8red3mli7:254  ,"#COVID19 | The Home Minister said today that it will end all Covid curbs on March 31, however, wearing of face mask and maintaining social distancing norms will continue as earlier.ndtv.comAll COVID-19 Curbs To End On March 31, Except Masks, Distancing: CentreIn view of the continuous dip in coronavirus cases, the Home Ministry has decided to end all COVID-19 containment measures from March 31, two years after their implementation following the outbreak of the pandemic.430 43041 comments24 sharesLikeCommentShare"
President Joe Biden   , t3Sp13o0h Manta3rac7sh07f ta4t 00o8red3mli7:252  ,"Equal pay is a matter of justice, fairness, and dignity — it is about living up to our values and who we are as a Nation.  For over 25 years, Equal Pay Day has helped draw attention to gender-based pay disparities by highlighting how far into a new year a woman must work, on average, to earn what a man did in the previous year.This year, Equal Pay Day falls on March 15, the earliest we have ever marked the occasion.  The earlier that Equal Pay Day arrives, the closer our Na… See more9.7K 9.7K2.9K comments365 sharesLikeCommentShare"
NDTV   , t5tuSc81l87hfc41f0h160plo9ntls8o9rgt43gled  ,"One year ago today, eight people, six of them women of Asian descent, were tragically killed by a gunman who attacked three Asian-run businesses. These horrific murders shook communities across America and underscored how far we have to go in this country to fight racism, misogyny, and all forms of hate—and the epidemic of gun violence that enables these extremists.In the aftermath of these senseless deaths, the Vice President and I traveled to Atlanta to meet with leaders … See more8.5K 8.5K1.4K comments279 sharesLikeCommentShare"
MotoGP   , 235t mMarlchhf S10acp64ot 9f1nts89l3o:31l5red9cm  ,"This afternoon, I’m hosting Colombian President Iván Duque Márquez at the White House for a bilateral meeting. I look forward to celebrating 200 years of positive diplomatic relations between our two nations and discussing a range of issues from COVID-19 to migration.9K 9K2.6K comments222 sharesLikeCommentShare"
NDTV   , 155t mMarlchhf S10acp64ot 9f1nts89l9o:34l7red9cm  ,#衛福編編報報 發文時間：2022.3.25新增136例COVID-19確定病例，分別為14例本土及122例境外移入記者會影片：https://youtu.be/0Ajmush7qpk記者會影片-即時字幕：https://youtu.be/Knjf2FInWg4《客家電視台》客語口譯直播：https://youtu.be/TJ1bgFokyJI… See moreSee translation+134.2K 4.2K334 comments216 sharesLikeCommentShare
President Joe Biden   , 165t mMarlchhf S10acp64ot 9f2nts89l0o:33l8red9cm  ,"Folks, you can now order free COVID-19 tests right to your home. Head to COVIDtests.gov to get yours today.8.8K 8.8K2.6K comments759 sharesLikeCommentShare"
President Joe Biden   , glu11t 4MS9502lpto4anrc2shta aortuu edt10010:24  ,"China's biggest city will lock down its eastern half from Monday until Friday, officials said, followed by a similar lockdown of its western side beginning on April 1. #COVID19 #COVID19Quarantinenews.abs-cbn.comShanghai to lock down in phases to rein in COVID-19 outbreakShanghai will launch a phased lockdown to curb an Omicron-fuelled Covid-19 outbreak that has hit China with its highest caseloads since the early days of the pandemic, the city government said Sunday.425 425140 comments95 sharesLikeCommentShare"
President Joe Biden   , glu25t 4MS9502lpto4anrc2shta aortuu edt11210:10  ,"India has one of the ""lowest"" 374 #COVID19 deaths per million population, according to the World Health Organisation, compared to similarly affected countries like the USA, Brazil, Russia and Mexico, the government said on Tuesday.ndtv.com""India Has One Of The Lowest Covid Deaths (374) Per Million"": CentreIndia has one of the ""lowest"" 374 COVID-19 deaths per million population, according to the World Health Organisation, compared to similarly affected countries like the USA, Brazil, Russia and Mexico, the government said on Tuesday.734 734155 comments19 sharesLikeCommentShare"
衛生福利部   , 2tu70 gJa1957Sp0oungnmguasor2caymuu9frted2  ,"On International Women’s Day, we recognize the achievements of women and girls in the United States and across the globe, celebrate the progress we’ve made, and recommit ourselves to the work that remains to deliver the full measure of equity, dignity, and opportunity due to all women and girls.Every person deserves the chance to live up to their full God-given potential, without regard for gender or other factors.  Ensuring that every woman and girl has that chance isn’t j… See more14K 14K2.5K comments691 sharesLikeCommentShare"
President Joe Biden   , glu28t 4MS9502lpto4anrc2shta aortuu edt10410:30  ,"A group of truckers protesting Covid-19 mandates started to encircle Washington, D.C., on Sunday, but the convoy stayed in Maryland after organizers said they did not intend to drive into the nation’s capital. https://nyti.ms/35TbaT00:05 / 0:442.9K 2.9K1.9K comments319 sharesLikeCommentShare"
ABS-CBN News   , t29g M12637l1artgcSh pa0fl7t ot1nc8c:so4r7e5dm1  ,"Vaccines are our best tool in the fight against COVID-19. If you haven’t yet, please get vaccinated and get boosted.Visit the COVID-19 Information Centre for vaccine resources.Get Vaccine Info33K 33K7.2K comments730 sharesLikeCommentShare"
NDTV   , 8tc8gh6it63Sl Mpogarnc7h aso3tat 7201r0:6e3d0g  ,China is facing a flare of #COVID19 cases and especially in its economic capital.Eastern Shanghai has been locked down since Monday for four days. Starting Friday it will be west turn to be bell  
President Joe Biden   , 7tc8gh6it63Sl Mpogarnc7h aso3tat 7001r1:6e3d5g  ,"With 75% of adult Americans fully vaccinated and hospitalizations down 77%, most Americans can remove their masks, return to work, stay in the classroom, and move forward safely.Visit the COVID-19 Information Centre for vaccine resources.Get Vaccine Info35K 35K4.3K comments1.2K sharesLikeCommentShare"
The New York Times   , 31t8Sp6i2037 J402alou0nsnfl73uary7orcl97ed7  ,"It’s simple: Eight months after your second shot, get your booster shot.0:00 / 0:20Visit the COVID-19 Information Centre for vaccine resources.Get Vaccine Info41K 41K9.2K comments2.1K sharesLikeCommentShare"
President Joe Biden   , 219 2itSptMatrigloch namlammshomt4 028:r6150e3d0  ,"March 30, 2022 Development of COVID-19 in IndonesiaThe number of recovered 5,742,931 confirmed positive #COVID19 in Indonesia to 6.009,486 and 155,000 deadRemain obedient to 3M by #WearingMask #WearingWithSoap #MakingDistance to break the chain of COVID-19 infection. Together we can #fightcovid19  "
FRANCE 24   , t1S2igp7o9ln21gl1s 7Maor9cm906mirtetdc861h  ,29 March 2022 COVID-19 development in IndonesiaThe number of recovered 5.735.055 confirmed positive #COVID19 in Indonesia to 6.005.646 and 154.882 diedRemain obedient to 3M by #WearingMask #WearingWithSoap #MakingDistance to break the chain of COVID-19 infection. Together we can #fightcovid19  
President Joe Biden   , t1S21gp7o9ln91 A1sugusot9 m90620rtetdc8621  ,"We reiterate our purpose to present an initiative to reform the Constitution on electoral matters. We want to guarantee democracy in Mexico; that the people be the one who chooses the INE councilor president and the electoral magistrate.Cases, hospitalizations and deaths from #COVID19 remain low; already adding nine consecutive weeks. We invite you to complete the vaccination scheme or come in for the booster to those who still don't have it. Vaccination is the best way to … See more  "
President Joe Biden   , 310 2itSptMatrigloch namlammshomt4 188:r6150e5d8  ,"March 27, 2022 COVID-19 development in IndonesiaThe number of recovered 5.714.662 confirmed positive #COVID19 in Indonesia became 5,998.953 and 154.670 deadRemain obedient to 3M by #WearingMask #WearingWithSoap #MakingDistance to break the chain of COVID-19 infection. Together we can #fightcovid19  "
Kementerian Kesehatan RI   , t22S9p50o M1m4nsa34arocfhg9i a3t 462r0g325ed:13  ,"We have administered over one million COVID-19 vaccine doses in the past 24 hours — that’s the highest number in seven weeks.If you haven’t yet, please get vaccinated. Let’s keep this momentum going and defeat COVID-19.Visit the COVID-19 Information Centre for vaccine resources.Get Vaccine Info63K 63K7.7K comments2.1K sharesLikeCommentShare"
Kementerian Kesehatan RI   , t22S9p50o M1m4nsa34arocfhg9i a3t 461r9g325ed:06  ,"วันนี้ (31 มี.ค. 65) ศูนย์ข้อมูล COVID-19 รายงานจำนวนผู้ติดเชื้อโควิด-19 รายใหม่เพิ่ม 27,560 คน• ผู้ป่วยสะสมระลอกใหม่ 1,404,912 คน (ตั้งแต่ 1 ม.ค. 65)• เสียชีวิตเพิ่ม 85 คน• หายป่วยเพิ่ม 25,077 คน… See moreSee translation1.2K 1.2K17 comments59 sharesLikeCommentShare"
Andrés Manuel López Obrador was live.  , t22S7p50o M1m4nsa34arocfhg9i a3t 461r8g325ed:49  ,"JUST IN: Nasa 758 na pasyenteng nasa mga ospital ang nasa kritikal na kondisyon dahil sa #COVID19, ayon sa DOH.Ayon sa ahensiya, sa 3204 na ICU beds para sa COVID-19 patients, 484 dito ang okupado.Dagdag ng DOH, nasa 389 na lang ang daily average cases na naitatala matapos madagdagan ng 2,726 bagong kaso ng #COVID19 sa bansa mula Marso 21 hanggang Marso 27.… See moreSee translation3.3K 3.3K1K comments670 sharesLikeCommentShare"
Kementerian Kesehatan RI   , 22tS0gp35o nm4lA03uasg1uos0rlet0u 620ld221  ,"March 25, 2022 COVID-19 development in IndonesiaThe number of recovered 5,691,220 confirmed positive #COVID19 in Indonesia became 5,991.687 and 154.463 diedRemain obedient to 3M by #WearingMask #WearingWithSoap #MakingDistance to break the chain of COVID-19 infection. Together we can #fightcovid19  "
President Joe Biden   , 3t1 tM4auruchS99 5atp 0ho018tufn0s:04orea9l305ld  ,മാസ്‌കില്ലെങ്കില്‍ കേസില്ല; ആള്‍ക്കൂട്ട നിയന്ത്രണവും കോവിഡ് ലംഘനവുമില്ല#Covidnews #Covid19 #India #covidprotocols #covidcasesSee translationClick to expand0:10 / 8:16Visit the COVID-19 Information Centre for vaccine resources.Get Vaccine Info2.1K 2.1K127 comments813 sharesLikeCommentShare
ActiveThai PBS   , 2t8 tM4auruchS99 5atp 0ho114tufn0s:04orea9l005ld  ,กรมการแพทย์ ให้สังเกตอาการ #ไข้เลือดออก จะมีไข้สูง 2-7 วัน ผื่น หน้าแดง ปวดศีรษะ ปวดเมื่อย เบื่ออาหาร คลื่นไส้อาเจียน อาจมีจุดแดงเล็กตามผิวหนัง แต่ #COVID19 จะมีไข้ต่ำถึงสูง ปวดเมื่อยตามตัว เจ็บคอ ไอแห้งหรือมีเสมหะ มีน้ำมูก หอบเหนื่อย อ่านต่อ https://news.thaipbs.or.th/content/314036 #ThaiPBSSee translation2.4K 2.4K36 comments396 sharesLikeCommentShare
ABS-CBN News   , 2t5 tM4auruchS99 5atp 0ho210tufn0s:34orea9l505ld  ,"If you haven’t yet, please get vaccinated. It’s the best way to keep yourself and your loved ones safe from the dangerous new COVID-19 variants.Let’s finish this virus once and for all.0:00 / 0:20Visit the COVID-19 Information Centre for vaccine resources.Get Vaccine Info23K 23K3.9K comments1.3K sharesLikeCommentShare"
Kementerian Kesehatan RI   , 2t3 tM4auruchS99 5atp 0ho111tufn0s:54orea9l305ld  ,"After a rigorous process, the FDA reaffirmed its findings that the Pfizer COVID-19 vaccine is safe and effective — and gave its full and final approval this week.So please, get vaccinated today and let’s put an end to this pandemic.Visit the COVID-19 Information Centre for vaccine resources.Get Vaccine Info27K 27K5.3K comments810 sharesLikeCommentShare"
